Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet	Supplier	Notes	Digikey	Sim.Pins	Mouser	Field4	Field5
1		C_Small	C22 C26	15p	C_0805_2012Metric	2	 	https://www.seielect.com/Catalog/SEI-CML.PDF	https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/CML0805C0G150JT50V/10660046	50V/5%					
2		C_Small	C11 C25	18p	C_0805_2012Metric	2	 	https://www.seielect.com/Catalog/SEI-CML.PDF	https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/CML0805C0G180JT50V/10659995	50V/5%					
3		C_Small	C29 C34 C50 C51	1n	C_0805_2012Metric	4	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21B102KBANNNC/3886678	1000 pF, 50 V					
4		C_Small	C31	1.2n	C_0805_2012Metric	1	 	https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM2165C2A122JA01-01.pdf	https://www.digikey.ch/de/products/detail/murata-electronics/GRM2165C2A122JA01D/2544699	10% 10V Ceramic Capacitor X5R					
5		C_Small	C1 C13 C15 C16 C17 C18 C19 C20 C21 C23 C30 C35 C46 C47 C48 C49 C52	100n	C_0805_2012Metric	17	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661	10% 16V Ceramic Capacitor X7R	1276-1180-1-ND		581-08055C104K		
6		C_Small	C12 C14	1u	C_0805_2012Metric	2	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724	25V/10%					
7		C_Small	C2 C3 C4 C5 C6 C7 C8 C9 C10 C24 C27 C28 C32 C36 C37 C38 C39 C40 C41 C42 C44 C45	10u	C_0805_2012Metric	22	 	https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf	https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL21X106KAYNNNE/5961182	10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)					
8		C_Polarized	C33 C43	100u	CP_EIA-7343-31_Kemet-D	2	 	https://industrial.panasonic.com/cdbs/www-data/pdf/ABE0000/ABE0000C49.pdf	https://www.digikey.ch/de/products/detail/panasonic-electronic-components/EEF-CX0J101R/816418	Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR					
9		CM4	CM1	CM4	Raspberry-Pi-4-Compute-Module	1	 	https://www.hirose.com/en/product/document?clcode=&productname=&series=DF40&documenttype=Catalog&lang=en&documentid=en_DF40_CAT	https://www.digikey.ch/de/products/detail/hirose-electric-co-ltd/DF40C-100DS-0-4V-51/1969476	DF40C-100DS-0.4V(51)					
10	Light emitting diode	LED	D7	LED R	LED_0805_2012Metric	1	 		https://www.digikey.ch/en/products/detail/harvatek-corporation/B1701URO-20D000114U1930/16671739			1=K 2=A			
11	Light emitting diode	LED	D2 D6	LED Y	LED_0805_2012Metric	2	 		https://www.digikey.ch/en/products/detail/harvatek-corporation/B1701NG-20D000314U1930/16671738			1=K 2=A			
12		1N4148	D1	SM4007	D_SOD-123F	1	 	https://www.mccsemi.com/pdf/Products/SM4001PL-SM4007PL(SOD-123FL).PDF	https://www.digikey.ch/de/products/detail/micro-commercial-co/SM4007PL-TP/1793250						
13		Polyfuse	F1	Polyfuse 1.8A	Fuse_1812_4532Metric	1	 	https://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_1812l_datasheet.pdf.pdf	https://www.digikey.ch/de/products/detail/littelfuse-inc/1812L150-24MR/2023969						
14		Conn_01x03_Pin	J28	JST PH 3	JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical	1	 	https://www.jst-mfg.com/product/pdf/eng/ePH.pdf	https://www.digikey.ch/de/products/detail/jst-sales-america-inc/B3B-PH-SM4-TB/926832						
15		Conn_01x04_Pin	J14	JST PH 4	JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical	1	 	https://www.jst-mfg.com/product/pdf/eng/ePH.pdf	https://www.digikey.ch/de/products/detail/jst-sales-america-inc./B4B-PH-SM4-TB/926833						
16		AudioJack3_SwitchTR	J1 J3	Jack 3.5mm	Jack_3.5mm_CUI_SJ1-3525N_Horizontal	2	 	https://www.cuidevices.com/product/resource/sj1-352xng.pdf	https://www.digikey.ch/de/products/detail/cui-devices/SJ1-3525NG/738690	MIDI Out					
17		NMJ6HCD2	J5 J8 J18 J19 J20 J22	Jack 6.35mm	Jack_6.35mm_Horizontal	6	 	https://www.schurter.com/en/datasheet/typ_4833.2320.pdf	https://www.digikey.ch/de/products/detail/schurter-inc/4833-2320/2644235	EXP1 EXP2 Audio IN Right Audio OUT Left Audio OUT Right Audio IN Left					
18		Raspberry_Sound_Card	J27	Pedalboard Soundcard	Pedalboard_Soundcard	1	 								
19		Screw_Terminal_01x02	J6	Screw_Terminal_01x02	TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal	1	 	https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkds-15-2-1715022?type=pdf	https://www.digikey.ch/de/products/detail/phoenix-contact/1715022/260626						
20	USB Type A connector	USB_A	J10	USB_A	USB_A_Molex_67643_Horizontal	1	 	https://www.molex.com/en-us/products/part-detail/676433910?display=pdf							
21	USB mini/micro connector	USB_OTG	J9	USB_OTG	USB_Micro-B_Amphenol_10103594-0001LF_Horizontal	1	 	https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10103594.pdf							
22		L_Ferrite	L1 L2 L3 L4	120_100MHz	L_0603_1608Metric	4	 	https://www.murata.com/products/productdata/8796738650142/ENFA0003.pdf	https://www.digikey.ch/de/products/detail/murata-electronics/BLM18KG121TN1D/1982762						
23		L	L5	SRN6045TA-3R3Y	L_Bourns_SRN6045TA	1	 	https://www.bourns.com/docs/Product-Datasheets/SRN6045TA.pdf	https://www.digikey.ch/de/products/detail/bourns-inc/SRN6045TA-3R3Y/6155103	3.3µH Semi-Shielded Wirewound Inductor 7.8A 21mOhm Nonstandard					
24		FDS4435BZ	Q1	FDS4435BZ	SO08-E3	1	 	https://www.onsemi.com/pdf/datasheet/fds4435bz_f085-d.pdf	https://www.digikey.ch/de/products/detail/onsemi/FDS4435BZ/1305763						
25	Resistor, small symbol	R_Small	R5 R13	10R	R_0805_2012Metric	2	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD10R0/2240197	Resistor 10R 1% 63mW					
26	Resistor, small symbol	R_Small	R6 R10	27R	R_0805_2012Metric	2	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT27R0/1712920						
27	Resistor, small symbol	R_Small	R4	33R	R_0805_2012Metric	1	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT33R0/1760586						
28	Resistor, small symbol	R_Small	R3 R7 R20	220R	R_0805_2012Metric	3	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT220R/1760238						
29	Resistor, small symbol	R_Small	R1 R2 R8 R11 R16	1K	R_0805_2012Metric	5	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229						
30	Resistor, small symbol	R_Small	R15 R17 R21 R22 R23	2K2	R_0805_2012Metric	5	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT2K20/1760345	Resistor 2.2K 1% 63mW					
31	Resistor, small symbol	R_Small	R18 R19	3K9	R_0805_2012Metric	2	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT3K90/1760599						
32	Resistor, small symbol	R_Small	R12 R24	12K	R_0805_2012Metric	2	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229	Resistor 12K 1% 63mW					
33	Resistor, small symbol	R_Small	R14	20K	R_0805_2012Metric	1	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RMCF0805FT20K0/1760314	Resistor 20K 1% 63mW					
34	Resistor, small symbol	R_Small	R25 R26 R27 R28 R29	36K	R_0805_2012Metric	5	 		https://www.digikey.ch/de/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229						
35		RotaryEncoder_Switch	SW1 SW2	24P/R 24mm	RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles	2	 	https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf	https://www.digikey.ch/en/products/detail/bourns-inc/PEC11R-4225F-S0024/4499659	VOL GAIN					
36		SW_Omron_B3FS	SW5 SW6 SW7 SW8 SW9 SW10	Tactile Button	SW_PUSH-12mm_Wuerth	6	 	https://www.we-online.com/components/products/datasheet/430172043816.pdf	https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/430162043826/9950802	D E F A B C					
37		74AHCT1G32SE-7	U1 U7	74AHCT1G32SE-7	SOT-353_SC-70-5	2	 	https://www.diodes.com/assets/Datasheets/74AHCT1G32.pdf	https://www.digikey.ch/de/products/detail/diodes-incorporated/74AHCT1G32SE-7/2711987						
38		AP2553W6	U10	AP2553W6	SOT-23-6	1	 	https://www.diodes.com/assets/Datasheets/AP255x.pdf	https://www.digikey.ch/en/products/detail/AP2553W6-7/AP2553W6-7DICT-ND/3882112					Digikey	AP2553W6-7DICT-ND
39		AP64351	U6	AP64501SP-13	SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias	1	 	https://www.diodes.com/assets/Datasheets/AP64501.pdf	https://www.digikey.ch/de/products/detail/diodes-incorporated/AP64501SP-13/10419715						
40	I2C Serial EEPROM, 1Kb (128x8) with Unique Serial Number, SOT-23-5	AT24CS01-STUM	U12	AT24CS01-STUM	SOT-23-5	1	 	http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf	https://www.digikey.ch/de/products/detail/microchip-technology/AT24CS01-STUM-T/3973063						
41	Low-Power, Two-Port, High-Speed, USB2.0 (480Mbps) or UART Switch, MSOP-10	FSUSB42MUX	U8	FSUSB42MUX	TSSOP-10_3x3mm_P0.5mm	1	 	https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF	https://www.digikey.ch/de/products/detail/onsemi/FSUSB42MUX/2036916						
42		NCP1117-3.3_SOT223	U5	NCP1117-3.3_SOT223	SOT-223-3_TabPin2	1	 	https://www.diodes.com/assets/Datasheets/AZ1117I.pdf	https://www.digikey.ch/de/products/detail/diodes-incorporated/AZ1117IH-3-3TRG1/5699672						
43		RP2040	U3	RP2040	RP2040-QFN-56	1	 	https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf	https://www.digikey.ch/de/products/detail/raspberry-pi/SC0914-13/14306010						
44	15-Mbps inverting photocouple,5 kVrms, 2.7 - 5.5 Vdd, push-pull output	TLP2761	U2	TLP2761	SO-6L_10x3.84mm_P1.27mm	1	 	https://toshiba.semicon-storage.com/info/docget.jsp?did=28819&prodName=TLP2761	https://www.digikey.ch/de/products/detail/toshiba-semiconductor-and-storage/TLP2761-TP-E/7809713						
45	4-Channel ESD Protection for Super-Speed USB 3.0 Interface, USON-10	TPD4EUSB30	U11	TPD4EUSB30	USON-10_2.5x1.0mm_P0.5mm	1	 	http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf	https://www.digikey.ch/de/products/detail/texas-instruments/TPD4EUSB30DQAR/2503665						
46	USB 2.0 Hi-Speed Hub Controller	USB2514B_Bi	U9	USB2514B_Bi	QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm	1	 	http://ww1.microchip.com/downloads/en/DeviceDoc/00001692C.pdf	https://www.digikey.ch/de/products/detail/microchip-technology/USB2514B-I-M2/5639468						
47		W25Q128JVS-Memory_Flash	U4	W25Q128JVS	SOIC-8_5.23x5.23mm_P1.27mm	1	 	https://www.winbond.com/resource-files/w25q128jv%20revf%2003272018%20plus.pdf	https://www.digikey.ch/de/products/detail/winbond-electronics/W25Q128JVSIQ-TR/5803944						
48		ABM8-272-T3	Y2	ABM8-272-T3	ABM8-272-T3_ABR	1	 	https://abracon.com/datasheets/ABM8-272-T3.pdf	https://www.digikey.ch/de/products/detail/abracon-llc/ABM8-272-T3/22472366						
49	Two pin crystal, small symbol	Crystal_Small	Y1	Crystal_Small	Crystal_SMD_5032-2Pin_5.0x3.2mm	1	 	https://www.ctscorp.com/Files/DataSheets/Passives/FCP/Crystals/crystals-445-datasheet.pdf	https://www.digikey.ch/en/products/detail/cts-frequency-controls/445C33D24M00000/3135787						





Project info:
Schematic:	pedalboard-hw
Variant:	default
Revision:	4.0.1-RC
Date:	2024-10-16
KiCad Version:	10.0.1-10.0.1~ubuntu25.10.1
Statistics:
Component Groups:	55
Component Count:	138 (118 SMD/ 20 THT)
Fitted Components:	128 (115 SMD/ 13 THT)
Number of PCBs:	1
Total Components:	128
